"","순위","우선주","괴리율","로그_괴리율"
"1",1,"솔루스첨단소재1우",76.1,4.33204826486764
"2",2,"솔루스첨단소재2우B",72.2,4.27944004589878
"3",3,"두산퓨얼셀1우",70,4.24849524204936
"4",4,"아모레퍼시픽우",68.1,4.22097721315547
"5",5,"BYC우",64.3,4.16355963124357
"6",6,"두산퓨얼셀2우B",63.5,4.15103990589865
"7",7,"코리아써우",62.7,4.13836144763888
"8",8,"넥센타이어1우B",62.2,4.13035499974513
"9",9,"대덕전자1우",61.8,4.12390336446365
"10",10,"아모레G우",60.2,4.09767235231478
"11",11,"LG생활건강우",58.2,4.06388535473739
"12",12,"LG전자우",56.7,4.03777421073371
"13",13,"LX하우시스우",55.2,4.01096295328305
"14",14,"SK케미칼우",53.3,3.9759363311718
"15",15,"삼성SDI우",52.6,3.96271611974366
"16",16,"삼성전기우",52,3.95124371858143
"17",17,"NPC우",50.9,3.92986292355648
"18",18,"롯데칠성우",50.5,3.92197333628131
"19",19,"한화3우B",50.3,3.91800507710569
"20",20,"금호석유우",50,3.91202300542815
"21",21,"CJ제일제당 우",49.3,3.89792408104864
"22",22,"미래에셋증권2우B",48.6,3.88362353090645
"23",23,"LG화학우",47.8,3.86702563949741
"24",24,"현대차3우B",47.3,3.85651029549789
"25",25,"코리아써키트2우B",47.2,3.85439389259151
"26",26,"현대차우",46.1,3.8308129500026
"27",27,"현대차2우B",45.8,3.82428409112014
"28",28,"코오롱인더우",45.8,3.82428409112014
"29",29,"남양유업우",45.2,3.81109708683819
"30",30,"미래에셋증권우",44.8,3.80220813942094
"31",31,"한진칼우",44,3.78418963391826
"32",32,"DL이앤씨우",43.3,3.76815263500844
"33",33,"두산우",42.8,3.75653810258775
"34",34,"세방우",41.5,3.72569342723665
"35",35,"DL우",39.5,3.67630067190708
"36",36,"삼양사우",37.5,3.62434093297637
"37",37,"CJ우",35.8,3.57794789340665
"38",38,"대교우B",35,3.55534806148941
"39",39,"SK이노베이션우",34.7,3.54673968695281
"40",40,"넥센우",30.6,3.42100000895834
