"","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"1","삼성전자","72,000","1,100","+1.55%","100","4,298,243","5,969,783",52.52,"14,967,908","10.87","17.07"
"2","LG생활건강","540,000","7,000","+1.31%","5,000","84,338","15,618",33.99,"84,569","43.81","4.41"
"3","LG화학","752,000","15,000","+2.04%","5,000","530,854","70,592",47.9,"234,645","36.08","6.95"
"4","현대차","197,100","400","+0.20%","5,000","416,929","211,532",32.07,"414,512","5.99","9.36"
"5","아모레퍼시픽","107,200","2,100","+2.00%","500","62,704","58,493",24.48,"294,218","70.95","2.81"
"6","남양유업","503,000","2,000","-0.40%","5,000","3,622","720",7.8,"808","-5.79","-10.12"
"7","LG","90,400","300","-0.33%","5,000","142,200","157,301",35.99,"163,879","13.17","8.48"
"8","LG전자","126,200","500","-0.39%","5,000","206,524","163,648",29.72,"666,584","51.74","6.61"
"9","아모레G","30,250","800","+2.72%","500","24,944","82,458",10.31,"487,601","45.56","1.87"
"10","CJ제일제당","321,500","2,500","-0.77%","5,000","48,399","15,054",23.81,"33,782","13.05","9.26"
