"","N","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"1",7,"삼성전자우","61,200","1,300","+2.17%","100","503,607","822,887",72.48,"2,085,752","9.24","N/A"
"2",83,"현대차2우B","107,900","0","0.00%","5,000","38,974","36,121",62.43,"56,821","3.28","N/A"
"3",103,"LG화학우","387,500","2,000","+0.52%","5,000","29,794","7,689",63.08,"37,160","18.59","N/A"
"4",116,"현대차우","107,800","300","+0.28%","5,000","25,994","24,113",60.53,"34,078","3.28","N/A"
"5",230,"LG전자우","55,300","100","+0.18%","5,000","9,504","17,186",40.43,"29,664","22.67","N/A"
"6",318,"삼성화재우","174,500","2,000","-1.13%","500","5,570","3,192",25.18,"4,712","6.11","N/A"
"7",322,"삼성SDI우","343,000","1,500","+0.44%","5,000","5,549","1,618",19.99,"3,744","11.86","N/A"
"8",332,"미래에셋증권2우B","3,845","5","+0.13%","5,000","5,383","140,000",10.41,"88,382","4.32","N/A"
"9",348,"LG생활건강우","235,000","0","0.00%","5,000","4,934","2,100",63.33,"4,464","19.06","N/A"
"10",401,"신영증권우","56,000","0","0.00%","5,000","3,950","7,054",6.12,"314","15.74","N/A"
"11",420,"아모레퍼시픽우","34,250","400","+1.18%","500","3,616","10,558",56.88,"11,214","22.67","N/A"
"12",436,"한화3우B","15,360","40","-0.26%","5,000","3,452","22,472",14.22,"28,243","0.91","N/A"
"13",440,"대신증권우","13,220","210","-1.56%","5,000","3,437","26,000",10.38,"116,612","11.48","N/A"
"14",481,"CJ4우(전환)","70,900","100","-0.14%","5,000","2,997","4,227",3.73,"7,274","19.39","N/A"
"15",537,"현대차3우B","105,800","400","+0.38%","5,000","2,544","2,404",17.71,"4,402","3.22","N/A"
"16",543,"한국금융지주우","43,100","1,250","+2.99%","5,000","2,525","5,858",15.54,"20,506","4.21","N/A"
"17",564,"두산우","59,000","700","+1.20%","5,000","2,358","3,996",12.78,"6,929","-1.75","N/A"
"18",591,"S-Oil우","54,200","500","-0.91%","2,500","2,180","4,022",13.4,"20,760","4.22","N/A"
"19",607,"삼성전기우","71,800","700","+0.98%","5,000","2,087","2,907",6.88,"4,033","7.17","N/A"
"20",617,"LG우","67,400","1,200","+1.81%","5,000","2,037","3,022",45.19,"9,727","9.82","N/A"
"21",619,"금호석유우","67,100","600","-0.89%","5,000","2,029","3,023",8.63,"8,598","2.81","N/A"
"22",624,"CJ제일제당 우","151,100","1,100","+0.73%","5,000","2,006","1,327",31.07,"2,800","6.13","N/A"
"23",658,"NH투자증권우","9,420","20","+0.21%","5,000","1,778","18,871",2.39,"23,268","8.57","N/A"
"24",689,"삼성물산우B","99,300","500","-0.50%","100","1,616","1,627",16.18,"1,194","8.67","N/A"
"25",699,"SK이노베이션우","124,000","600","+0.49%","5,000","1,548","1,248",14.21,"3,909","18.04","N/A"
"26",704,"아모레G3우(전환)","21,650","650","+3.10%","500","1,535","7,092",3.8,"5,874","32.61","N/A"
"27",765,"대신증권2우B","12,770","0","0.00%","5,000","1,277","10,000",2.3,"22,210","11.09","N/A"
"28",785,"두산퓨얼셀1우","9,080","50","-0.55%","100","1,213","13,364",15.76,"9,858","85.66","N/A"
"29",807,"CJ우","50,200","100","-0.20%","5,000","1,135","2,260",7.51,"593","13.73","N/A"
"30",880,"한화솔루션우","35,550","150","-0.42%","5,000","916","2,575",4.92,"6,233","18.16","N/A"
"31",906,"SK우","151,900","300","+0.20%","200","860","566",1.17,"859","-7,595.00","N/A"
"32",918,"두산2우B","94,500","1,800","+1.94%","5,000","844","893",0.13,"1,734","-2.80","N/A"
"33",947,"솔루스첨단소재1우","9,260","80","+0.87%","100","783","8,455",11.99,"7,892","-18.52","N/A"
"34",966,"아모레G우","11,780","140","+1.20%","500","759","6,444",39.71,"10,517","17.74","N/A"
"35",977,"SK케미칼우","34,300","50","+0.15%","5,000","726","2,115",16.07,"2,126","3.94","N/A"
